
0cbaa3ae-5376-4d7f-8053-7daba92be456,"""""",,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,"""""",,
a11999eb-48ab-4655-b2e7-a102e7210111,"""""",,
43cb580e-dcc1-438e-b4dc-19303e208aaf,"""""",,
2f12fa57-37c6-4486-be84-ac4e5dc569c2,"""The speed of jumping up and down is so fast and there is little thing to do through jumping. The levels are simple and interesting.""",,
70d6994c-b6d4-4e92-9d50-e1c25931d401,"""""",,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,"""Loading is tooo slow""",,
90237211-82c9-4695-9a59-8d975f6bef3a,"""有些金币吃不到""",,
fdb9bf30-0d9b-4985-bdff-661806be4fe5,"""too many enemies""",,
2482c1ca-0da2-4288-a8a6-c5e41050e310,"""""",,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,"""1. Some monsters in some levels are stuck by bug.\n2. Some scenes in some levels cannot be passed.\n\nHowever",,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,"""""",,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0,"""1. Sometimes the level is unplayable. For example",,
0c490eda-0204-4232-aca2-4918ee2e8bf8,"""too long for each play and nearly forget the previous one when doing rank""",,
4324f040-147a-443b-b639-125efb4faf24,"""马里奥操纵起来有些迟钝，当我去尝试击杀一些敌人的时候，很容易就死亡了。\n就关卡而言，有两个地图的坑太宽了，为了通过这坑 不得不去消耗一条命，很打击积极性。而且坑之上可能有砖块但是也几乎不可能去达到""",,
4324f040-147a-443b-b639-125efb4faf24,"""""",,
a3bbdd04-4020-4bc8-95d2-692568fe9115,"""惯性和重力加速度不好控制，虽然更真实，但很难操控。\n乌龟壳跑太快了。""",,
4013d0a0-8554-4fdb-9e59-aa8409877849,"""The Mario game requires pressing the bullet button to move in order to accelerate. Now",,
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89,"""no""",,
41fdb80c-6516-4d73-8b79-6f863a3287d0,"""""",,
10076030-cd09-4885-95f3-6ac9425016ec,"""Apart from the map",,
d19a149b-1d08-4720-bc60-716abcb6be88,"""""",,
daeba09e-2e25-49f2-bc1f-182fd053f3a4,"""""",,
df68c988-120e-42a0-a498-7d7a567e9bc3,"""""",,
735b485e-f9ca-4749-aa61-aa2a98a00d18,"""""",,
2a8b8b1b-a314-4c4d-9721-8b94797932fb,"""蘑菇，花，敌人有些分布不均，有些裂缝无法通过跳跃通过""",,
3b6c9df2-5083-4d49-9861-cbe74afe4619,"""""",,
e2215704-e65c-4f6f-893c-abdf71a1fd5f,"""""",,
c25c6ad3-626d-4563-9a22-81b0f8b9e8d5,"""""",,
f5316da9-ca44-46c2-937a-c669e5689fad,"""The controls are not always very responsive.""",,
4a41095c-af10-4826-a020-f46e74ae8355,"""""",,
f51c61ef-825a-45c2-ac37-22a2c895cd41,"""""",,
1f832b78-6dd1-4b19-b30b-51960d91b031,"""Having WASD as jump;left;duck;right and shift for running would have felt more natural (to me) for controls. It definitely contributed to some deaths in the game.\n""",,
e357e3de-be46-4360-b98a-d4c599431be7,"""""",,
76027eb9-e5df-464c-84e0-88c816678977,"""""",,
60eb6bbd-e693-4b39-a26b-deefbdb778b7,"""""",,
9ecbe03d-97b6-48aa-b3ba-a21d09d0fd56,"""there are some bugs happen for the turtles""",,
1dde97e4-3c95-4369-8793-baee2d3216f3,"""too slow to start""",,
0f50778b-e4b6-4e32-b4f7-1e8d42bc103d,"""Interesting.""",,
cfa734c5-6381-48bc-9a44-436292751245,"""it's a good and hard  game for me """,,
3e9a9746-8dd9-4860-9079-dee242ceb868,"""""",,
7fc6f124-dc9e-4a87-ab19-e851f9d9de67,"""The game jitters a lot",,
105c0e47-62cc-417d-9ffc-4dd7da969125,"""有点卡，反馈都差点输入不了""",,
b3e007dd-ff6c-40af-9683-a347df06b134,"""Because I am not proficient in the game",,
e8fa1eee-54e3-49af-bd53-33de244a87be,"""""",,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,"""cooooool""",,
fe64a281-9563-4165-bf98-fbd8841472ba,"""""",,
a26fa938-16d9-4751-9d7b-542fb44a0ee8,"""cooooool""",,
8b1fe243-3a4d-4c3d-ac18-b251cc558b05,""" The monster density may be too high",,
fa5a99b6-80d0-49ce-b93f-b2889b2935c2,"""Hard for me cause I rarely played Super Mario before""",,
3b8d2496-d662-46f2-9849-c09fd9fa1646,"""A little bit boring",,
